Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59
0.73381,0.60684,0.163736,0.279954,0.168016,0.451758,0.25941,0.524913,0.742542,0.844307,0.886101,0.765469,0.0,0.492038,0.315879,0.354415,0.765955,0.590302,0.293109,0.374501,0.367401,0.455579,0.387092,0.000498,0.375215,0.594106,0.294315,0.201496,0.298701,0.720968,0.0,0.0,0.0,0.479664,0.341973,1.496971,0.0,0.738695,0.0,0.125556,0.421014,0.669747,0.494902,1.116491,0.501719,0.643772,0.593677,0.151967,0.608852,0.0,0.970875,0.0,0.395067,0.43,0.341219,8.3e-5,0.305415,0.696479,0.0
0.749866,0.624192,0.171233,0.287431,0.17426,0.464674,0.26748,0.539737,0.762918,0.866648,0.908937,0.785974,0.0,0.504919,0.324129,0.363677,0.786843,0.605942,0.300762,0.385602,0.378673,0.468029,0.398103,0.000566,0.385135,0.609866,0.303824,0.206959,0.308474,0.741108,0.0,0.0,0.0,0.489681,0.350663,1.536693,0.0,0.754745,0.0,0.128149,0.432997,0.687912,0.509028,1.145662,0.514732,0.660388,0.610151,0.158019,0.625087,0.0,0.996348,0.0,0.406005,0.442144,0.350356,6.9e-5,0.314809,0.714915,0.0
0.785321,0.672958,0.194027,0.302436,0.190331,0.497012,0.290006,0.577266,0.819892,0.927052,0.966536,0.844832,0.0,0.537846,0.338352,0.383064,0.846969,0.651342,0.323967,0.407665,0.406665,0.501191,0.423638,0.00028,0.411529,0.652654,0.332409,0.211259,0.329343,0.801507,0.0,0.0,0.0,0.52484,0.376642,1.659461,0.0,0.81332,0.0,0.13135,0.46886,0.735676,0.545473,1.236124,0.554311,0.711019,0.655514,0.172438,0.667805,0.0,1.073811,0.0,0.434171,0.468133,0.372479,0.0,0.342902,0.765692,0.0
0.864303,0.69969,0.290448,0.344029,0.257014,0.541515,0.34385,0.630386,0.940731,1.032843,1.075471,0.969403,0.0,0.601008,0.356317,0.422307,0.968403,0.725851,0.353714,0.457113,0.445716,0.566842,0.488734,0.098916,0.471789,0.73662,0.371647,0.274584,0.36232,0.968096,0.0,0.0,0.0,0.628196,0.447211,1.983455,0.0,0.986029,0.0,0.00042,0.53101,0.85212,0.639184,1.463939,0.664564,0.850801,0.751985,0.133775,0.765191,0.0,1.283647,0.0,0.483876,0.518692,0.410274,0.043941,0.379383,0.870076,0.0
0.947259,0.812973,0.448215,0.459923,0.386623,0.650165,0.405682,0.68365,1.059035,1.111835,1.179379,1.086163,0.0,0.691537,0.437751,0.49379,1.075641,0.814539,0.41016,0.522552,0.535107,0.618499,0.571961,0.258831,0.535062,0.818349,0.442906,0.32629,0.481025,1.262377,0.0,0.0,0.0,0.900661,0.674541,2.539753,0.0,1.271391,0.0,0.0,0.618485,0.960642,0.799572,1.941317,0.932131,1.053956,0.856374,0.0,0.906732,0.0,1.708003,0.0,0.490705,0.636487,0.56545,0.107575,0.428458,0.971438,0.0
0.998415,0.923216,0.587733,0.599702,0.547674,0.826368,0.557256,0.802863,1.167383,1.227065,1.313694,1.199467,0.0,0.8261,0.505377,0.65792,1.165985,0.838562,0.62727,0.636798,0.716517,0.779804,0.738408,0.42248,0.648122,0.959218,0.633797,0.546919,0.64036,1.422579,0.0,0.0,0.0,1.441894,1.062118,3.265194,0.0,1.738218,0.0,0.385846,0.781333,1.046041,0.925279,2.555395,1.32645,1.44023,0.939314,0.452816,0.99163,0.0,2.325801,0.174521,0.674354,0.734572,0.721797,0.0,0.632315,1.107253,0.0
1.350185,1.265158,1.012493,1.064267,0.972276,1.194392,0.997151,1.191798,1.430796,1.503044,1.594017,1.48257,0.0,1.22385,0.899822,1.058856,1.44626,1.211907,1.056336,1.047568,1.144065,1.171367,1.094278,0.94304,1.050943,1.290054,1.021225,1.01705,1.084153,2.423633,1.009106,0.0,0.0,2.182682,1.789885,3.717484,0.0,2.394037,1.201971,0.922097,1.130032,1.354811,1.200579,3.040872,1.800564,1.958716,1.299409,0.917309,1.285977,0.0,3.056821,0.878704,1.039763,1.082602,1.045763,0.781872,1.106342,1.435788,0.0
1.97977,1.926839,1.754914,1.781944,1.747663,1.887254,1.752123,1.883411,2.041376,2.094318,2.17779,2.07357,0.0,1.900164,1.731255,1.795691,2.037545,1.901037,1.791085,1.774778,1.850585,1.895522,1.81497,1.743445,1.796759,1.942751,1.784843,1.758073,1.827976,3.325418,1.508537,0.0,0.278214,2.540805,3.116339,3.998888,0.0,2.694112,1.820434,1.690228,1.838568,1.987107,1.842089,3.409031,2.12886,2.363541,1.951756,1.72962,1.908601,0.969801,3.651024,1.690165,1.793161,1.786119,1.796657,1.638781,1.805594,2.054013,0.0
3.059915,3.027754,2.936669,2.942376,2.915536,3.005548,2.917691,2.989962,3.112914,3.144703,3.190294,3.13674,0.0,3.019127,2.921306,2.955487,3.099109,3.009947,2.934375,2.941467,2.977791,3.010055,2.959107,2.934068,2.954471,3.046609,2.93593,2.93694,2.966864,3.870333,2.147994,0.0,1.49095,3.104676,5.086787,4.260864,0.0,3.105315,2.287898,2.885429,2.981181,3.066923,2.960282,3.647887,2.528548,2.729961,3.039225,2.926996,3.006136,1.785446,3.816889,2.892521,2.954353,2.935957,2.955428,2.85699,2.953552,3.11827,1.123877
3.566746,3.53764,3.440999,3.452619,3.420996,3.516488,3.450216,3.493388,3.596779,3.64882,3.677286,3.623397,1.359713,3.518238,3.455845,3.466725,3.587977,3.505828,3.441048,3.462253,3.475318,3.516101,3.484947,3.452211,3.46267,3.562545,3.437692,3.461213,3.483808,4.296747,2.805253,1.261184,2.316064,3.632057,5.664359,4.555168,0.0,3.667188,2.86472,3.41029,3.493494,3.558609,3.464258,4.064217,3.094474,3.195938,3.559728,3.423564,3.530573,2.513182,4.148632,3.419232,3.475071,3.452124,3.458069,3.385963,3.472404,3.60893,2.086829
