Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59
0.815102,0.663466,0.13426,0.222595,0.089031,0.457669,0.221864,0.565124,0.898094,0.990244,1.036943,0.927715,7.0e-6,0.52802,0.240824,0.31657,0.924296,0.675104,0.241011,0.347886,0.350123,0.489922,0.381742,0.00097,0.365133,0.673024,0.284148,0.098661,0.265283,0.602848,8.1e-5,0.0,1.9e-5,0.002681,2.8e-5,1.905466,9.0e-6,0.796036,1.9e-5,0.001035,0.429619,0.798579,0.513022,1.360713,0.449848,0.692598,0.632229,0.189952,0.656684,1.5e-5,1.051835,0.0,0.36936,0.426509,0.318842,0.000153,0.256794,0.811394,4.2e-5
0.824083,0.665969,0.170193,0.225577,0.095052,0.463071,0.226491,0.566889,0.914709,1.004956,1.05301,0.944316,1.1e-5,0.544,0.227895,0.316486,0.939711,0.68183,0.233211,0.343246,0.344291,0.497588,0.392916,0.006439,0.37907,0.686552,0.272345,0.135493,0.26474,0.656535,0.0,9.0e-6,6.0e-6,0.056857,1.6e-5,1.970641,1.4e-5,0.828744,0.0,0.005513,0.442185,0.811838,0.523901,1.414229,0.475604,0.721764,0.645845,0.180425,0.669818,0.0,1.103935,0.0,0.373016,0.430797,0.328823,0.0,0.246153,0.826621,0.0
0.835636,0.672954,0.229602,0.244711,0.102693,0.489331,0.253915,0.567732,0.954089,1.029968,1.080043,0.997,0.0,0.572164,0.23719,0.279352,0.983113,0.703401,0.222099,0.35583,0.364,0.509887,0.412778,0.0,0.384376,0.725638,0.298267,0.065206,0.322398,0.807154,0.0,1.0e-5,0.0,0.177163,0.000123,2.141668,0.0,0.937209,0.0,0.0,0.462143,0.859017,0.564231,1.574983,0.581858,0.80037,0.688694,0.136779,0.71311,0.0,1.25749,0.0,0.365442,0.450505,0.35801,0.0,0.260589,0.8644,0.0
0.890963,0.761282,0.318942,0.339462,0.297306,0.591345,0.283454,0.612786,1.02582,1.08039,1.149106,1.060856,0.0,0.60769,0.345222,0.394758,1.046674,0.76764,0.307163,0.437897,0.447218,0.545649,0.503736,0.112219,0.434902,0.770327,0.365105,0.149761,0.397563,1.168174,0.0,0.0,0.0,0.689012,2.2e-5,2.52344,1.0e-5,1.127374,0.0,0.0,0.499474,0.940846,0.699413,1.887788,0.817251,0.964256,0.760827,0.0,0.828629,0.0,1.598389,0.0,0.396498,0.556593,0.489027,0.0,0.326095,0.919234,0.0
0.909359,0.858224,0.454086,0.462706,0.412235,0.74415,0.405548,0.733221,1.108192,1.166754,1.251587,1.140716,0.0,0.76808,0.423868,0.515042,1.134818,0.774644,0.496188,0.529195,0.607219,0.678692,0.650334,0.221474,0.551881,0.895917,0.506203,0.375535,0.496808,1.198284,0.0,0.0,0.0,1.195596,0.521366,3.155682,0.0,1.627373,0.0,0.188219,0.668228,0.977133,0.866246,2.442857,1.281108,1.43276,0.858713,0.310252,0.942642,0.0,2.19902,0.0,0.567717,0.640599,0.647303,0.0,0.471392,0.994315,0.0
1.06264,0.980467,0.606146,0.705931,0.579265,0.882333,0.591441,0.868532,1.194551,1.267709,1.374228,1.244366,0.0,0.880356,0.459816,0.660503,1.200143,0.9035,0.6812,0.670631,0.800463,0.867621,0.739202,0.55615,0.668539,1.013272,0.646278,0.616689,0.758923,2.033847,0.667508,0.0,0.0,1.943439,1.382851,3.62177,0.0,2.19828,0.825209,0.453533,0.814446,1.091503,0.895836,2.871227,1.602384,1.755938,1.00306,0.459016,1.031811,0.0,2.812246,0.314703,0.670697,0.747166,0.697901,0.0,0.754851,1.185617,0.0
1.624926,1.554488,1.333293,1.373046,1.32221,1.498784,1.334125,1.501618,1.694086,1.757367,1.853918,1.731429,0.0,1.516947,1.29123,1.385181,1.687284,1.527336,1.393123,1.372105,1.450833,1.497523,1.41361,1.322865,1.386609,1.574558,1.376006,1.340247,1.42281,3.263262,1.353029,0.0,0.0,2.422814,2.65208,3.95507,0.0,2.631132,1.635659,1.250057,1.455983,1.62044,1.450508,3.332428,2.054175,2.31943,1.588069,1.291218,1.536986,1.4e-5,3.45037,1.254948,1.375796,1.37384,1.380724,1.175472,1.412771,1.710721,0.0
2.778836,2.727859,2.62248,2.635535,2.600983,2.710385,2.606166,2.687203,2.82097,2.85736,2.920783,2.848817,0.0,2.71741,2.610212,2.641594,2.809688,2.711524,2.632239,2.623773,2.677579,2.715478,2.656408,2.612409,2.642715,2.748914,2.622245,2.629806,2.666636,3.739369,1.897295,0.0,1.116655,2.932662,4.763409,4.15754,0.0,3.000922,2.089865,2.565575,2.672519,2.773913,2.657978,3.549606,2.34924,2.581189,2.750005,2.613509,2.702609,1.51839,3.737463,2.57632,2.644066,2.628255,2.648231,2.537206,2.649957,2.825651,0.791527
3.4655,3.435983,3.345148,3.343462,3.321291,3.421201,3.344746,3.390606,3.501377,3.54677,3.579614,3.527192,1.237374,3.412526,3.348426,3.367438,3.487883,3.408218,3.33925,3.355631,3.373766,3.416201,3.377639,3.353506,3.364378,3.46081,3.340357,3.356588,3.38148,4.180829,2.675346,0.75085,2.210597,3.51202,5.448646,4.481731,0.0,3.502694,2.749407,3.304585,3.395596,3.458505,3.354075,4.001411,2.991447,3.083227,3.443022,3.343134,3.413159,2.367196,4.06946,3.31791,3.368062,3.349414,3.36039,3.281525,3.368295,3.512479,1.912191
3.758807,3.719031,3.624098,3.641217,3.60884,3.703777,3.644557,3.679475,3.77759,3.835084,3.851176,3.805346,1.756211,3.702915,3.65396,3.668855,3.768418,3.698713,3.624964,3.650603,3.662979,3.696834,3.666942,3.641425,3.649997,3.749944,3.627334,3.636115,3.674515,5.448634,3.041704,1.719681,2.517244,3.845155,5.905801,4.698413,0.0,3.852414,3.072172,3.610613,3.674156,3.737035,3.644642,4.220386,3.281945,3.378936,3.749417,3.599126,3.72942,2.760953,4.271321,3.609371,3.667941,3.648711,3.646387,3.579361,3.66204,3.785476,2.384754
3.900281,3.853165,3.76867,3.780448,3.74615,3.844457,3.78721,3.818358,3.914964,3.969608,3.986018,3.945031,2.042286,3.856072,3.79601,3.817166,3.908359,3.848306,3.763357,3.794303,3.807765,3.833776,3.803519,3.777108,3.782409,3.890411,3.765836,3.771162,3.812308,6.298419,3.215977,1.962335,2.678783,4.055907,5.992144,4.784786,0.0,3.928379,3.246613,3.754776,3.814647,3.866602,3.780067,4.347616,3.438093,3.527626,3.89525,3.739892,3.868366,2.948293,4.41376,3.7512,3.810184,3.796735,3.785357,3.725969,3.799997,3.916279,2.60594
