Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59
0.754353,0.626972,0.109753,0.255708,0.111709,0.457244,0.234826,0.536411,0.774473,0.883075,0.927718,0.799376,0.0,0.498109,0.294717,0.34081,0.801584,0.606446,0.275564,0.365264,0.356747,0.45885,0.379361,0.000233,0.364175,0.6102,0.285484,0.146657,0.2818,0.701077,0.0,0.0,0.0,0.412202,0.087528,1.575777,0.0,0.741453,0.0,0.065771,0.418791,0.695942,0.496604,1.162273,0.486214,0.651469,0.604884,0.119386,0.621569,0.0,0.984283,0.0,0.383996,0.428097,0.329722,9.6e-5,0.27543,0.720543,0.0
0.763978,0.646688,0.116266,0.261699,0.113989,0.469416,0.242731,0.548988,0.796995,0.905044,0.947915,0.822321,8.0e-6,0.509842,0.297798,0.34764,0.824667,0.625042,0.278029,0.372327,0.369943,0.470003,0.388098,0.000133,0.375673,0.626347,0.291323,0.142374,0.286826,0.726869,0.0,0.0,0.0,0.427562,0.123169,1.623857,8.0e-6,0.763102,0.0,0.048165,0.430114,0.714852,0.511294,1.199365,0.501723,0.671591,0.623657,0.118763,0.638043,0.0,1.016898,0.0,0.394584,0.43631,0.337218,0.0,0.288086,0.739515,0.0
0.809964,0.67174,0.157694,0.282871,0.15812,0.489661,0.277055,0.583591,0.858315,0.961362,0.999497,0.886199,0.0,0.547231,0.312958,0.353084,0.887193,0.66739,0.30343,0.404901,0.380521,0.506537,0.419772,3.1e-5,0.411458,0.670267,0.329678,0.131116,0.315121,0.802933,0.0,0.0,0.0,0.478456,0.195984,1.768805,0.0,0.834527,0.0,0.000117,0.467383,0.76557,0.554575,1.303664,0.555723,0.737626,0.671122,0.116708,0.685092,0.0,1.103503,0.0,0.434303,0.459879,0.351437,0.0,0.319384,0.790552,0.0
0.860705,0.696226,0.288542,0.315893,0.191814,0.536211,0.308376,0.613167,0.96426,1.04247,1.094038,1.003536,0.0,0.608425,0.302877,0.362586,0.996747,0.729011,0.323272,0.416179,0.414133,0.558466,0.476692,0.0,0.452808,0.751479,0.350254,0.175342,0.357227,1.007141,0.0,0.0,0.0,0.610121,0.389861,2.109119,0.0,1.041129,0.0,0.0,0.518643,0.876113,0.62953,1.567966,0.679628,0.885022,0.758733,0.0,0.769768,0.0,1.358569,0.0,0.441943,0.499375,0.396902,0.075243,0.341,0.886611,0.0
0.953116,0.846274,0.427833,0.462787,0.396473,0.686276,0.396142,0.701957,1.071495,1.128643,1.197994,1.10957,0.0,0.697164,0.437253,0.505407,1.087055,0.833988,0.424342,0.536055,0.55969,0.624884,0.604642,0.277593,0.532474,0.852175,0.467788,0.32432,0.475787,1.251066,0.0,0.0,0.0,1.035727,0.652217,2.673303,0.0,1.342531,0.0,0.0,0.633969,0.959255,0.8342,2.063767,0.983863,1.101171,0.868688,0.0,0.930624,0.0,1.831337,0.0,0.515546,0.664935,0.58968,0.0,0.444482,0.976179,0.0
1.020835,0.944093,0.604713,0.65639,0.56137,0.843629,0.576033,0.835703,1.179419,1.245101,1.339024,1.22143,0.0,0.849806,0.507164,0.662804,1.174549,0.856516,0.678334,0.632421,0.755687,0.7914,0.750686,0.485422,0.66265,0.974112,0.644488,0.580117,0.685285,1.544433,0.0,0.0,0.0,1.543709,1.122844,3.376169,0.0,1.810577,0.0,0.426761,0.795533,1.058169,0.922482,2.632418,1.41671,1.492582,0.976624,0.417952,1.012461,0.0,2.488936,0.253518,0.681124,0.744196,0.725075,0.0,0.67475,1.133607,0.0
1.404964,1.312338,1.07574,1.122077,1.038087,1.251746,1.068025,1.255952,1.47719,1.552896,1.639216,1.526138,0.0,1.2793,0.983122,1.126767,1.4901,1.272201,1.122439,1.115345,1.196425,1.22876,1.157645,1.019677,1.125448,1.333951,1.091445,1.079765,1.154571,2.667752,0.979997,0.0,0.0,2.189889,1.961564,3.752027,0.0,2.463363,1.252379,0.9852,1.205643,1.396927,1.234259,3.127546,1.765821,2.005629,1.354122,0.984425,1.336259,0.0,3.171111,0.937503,1.108489,1.156669,1.118461,0.863297,1.163644,1.475524,0.0
2.131815,2.081742,1.928688,1.949815,1.91842,2.050306,1.923886,2.042714,2.191865,2.24091,2.317089,2.220749,0.0,2.059457,1.906363,1.965314,2.186304,2.060018,1.954665,1.933952,2.014296,2.056261,1.979423,1.915916,1.966803,2.099643,1.954543,1.930302,1.992838,3.498228,1.611632,0.0,0.539725,2.686432,3.460867,4.018221,0.0,2.708464,1.869019,1.86692,2.000754,2.139789,1.995361,3.433536,2.150017,2.388758,2.107453,1.905485,2.063826,1.170119,3.633284,1.866517,1.960553,1.95508,1.965032,1.819241,1.973677,2.201025,0.0
3.184653,3.156882,3.067161,3.076417,3.046173,3.13271,3.052843,3.113971,3.236604,3.270211,3.3141,3.265202,0.0,3.14179,3.051112,3.084495,3.21686,3.13612,3.065931,3.069598,3.103105,3.137537,3.092487,3.069373,3.081007,3.178608,3.065487,3.070344,3.09192,3.962856,2.334159,0.0,1.738104,3.234648,5.138801,4.313389,0.0,3.203809,2.437263,3.014728,3.117911,3.188595,3.091972,3.773215,2.626792,2.847856,3.162143,3.066557,3.133293,1.975556,3.884568,3.022535,3.083395,3.065898,3.078038,2.983934,3.092314,3.250205,1.363443
3.624221,3.594336,3.497631,3.513503,3.481649,3.571125,3.509427,3.550764,3.651147,3.706012,3.728733,3.679364,1.470401,3.574283,3.516096,3.527212,3.643948,3.562259,3.497416,3.521081,3.535986,3.57343,3.544192,3.509439,3.522714,3.62098,3.49232,3.517356,3.54172,4.355532,2.883944,1.405499,2.402452,3.700776,5.778586,4.608438,0.0,3.737714,2.938141,3.471364,3.548897,3.615548,3.523863,4.108393,3.177242,3.252306,3.619023,3.474674,3.595325,2.599442,4.198288,3.476854,3.534495,3.512693,3.516332,3.444747,3.533099,3.664039,2.195283
3.834259,3.789751,3.700995,3.712575,3.679404,3.776165,3.717439,3.750636,3.852612,3.905381,3.921389,3.880016,1.84376,3.782934,3.731305,3.747409,3.841537,3.784603,3.696243,3.727383,3.740163,3.769037,3.738373,3.71351,3.716454,3.822762,3.700287,3.707255,3.749684,6.202192,3.133418,1.873367,2.608576,3.916358,5.949446,4.743879,0.0,3.909543,3.155852,3.684139,3.749842,3.803228,3.714663,4.276543,3.371169,3.460822,3.825903,3.673299,3.800644,2.861924,4.320678,3.685863,3.740955,3.726271,3.718852,3.660346,3.733802,3.853551,2.499206
3.921232,3.876351,3.791703,3.805111,3.771097,3.870887,3.813045,3.842202,3.936072,3.990534,4.008624,3.96758,2.115789,3.879736,3.815932,3.83924,3.93142,3.865699,3.788251,3.814621,3.829403,3.857044,3.826298,3.801322,3.807472,3.914495,3.789723,3.794052,3.831478,6.339635,3.255421,2.020346,2.701635,4.096791,6.006376,4.802058,0.0,3.954499,3.278453,3.782463,3.835571,3.891969,3.801718,4.361546,3.464698,3.551288,3.917776,3.764154,3.892186,2.984015,4.44025,3.775265,3.832061,3.821929,3.809152,3.747878,3.824368,3.939437,2.635663
3.942058,3.896691,3.812982,3.826072,3.793698,3.891708,3.8357,3.862766,3.956272,4.01169,4.027025,3.986704,2.127305,3.900012,3.836274,3.861247,3.951979,3.885301,3.809657,3.835035,3.85209,3.877631,3.845921,3.822385,3.829348,3.935152,3.808321,3.816558,3.851328,6.376686,3.284458,2.061453,2.728377,4.125733,6.01768,4.816656,0.0,3.988896,3.300184,3.804497,3.8542,3.913737,3.822041,4.376592,3.491846,3.566277,3.937517,3.784655,3.914014,3.010882,4.465792,3.795365,3.853061,3.843149,3.830265,3.768221,3.845944,3.960411,2.655919
3.949976,3.904422,3.820707,3.833696,3.802453,3.899603,3.844869,3.870351,3.964109,4.019594,4.034328,3.993508,2.127133,3.907451,3.844047,3.869491,3.959827,3.892994,3.818436,3.842487,3.860769,3.8853,3.853011,3.830668,3.837552,3.942856,3.815159,3.824953,3.858865,6.390533,3.293718,2.07407,2.737353,4.139133,6.022449,4.823016,0.0,4.001741,3.307416,3.812828,3.860993,3.921925,3.829269,4.3837,3.500349,3.570935,3.945011,3.792384,3.922137,3.019622,4.476805,3.803174,3.860775,3.851282,3.838272,3.77627,3.853916,3.968222,2.664103
3.952231,3.90693,3.822962,3.836135,3.805178,3.902008,3.847735,3.872695,3.96646,4.021986,4.036908,3.995523,2.123621,3.909919,3.846433,3.87188,3.962219,3.895066,3.821558,3.844688,3.863378,3.887614,3.855075,3.833236,3.84014,3.945193,3.817282,3.827462,3.861192,6.395874,3.296889,2.079958,2.740038,4.142702,6.023726,4.824179,0.0,4.005257,3.310115,3.81546,3.862931,3.924549,3.831475,4.385881,3.502889,3.57336,3.947413,3.794912,3.924588,3.022578,4.479927,3.805577,3.863198,3.853795,3.840667,3.77871,3.856399,3.970713,2.665237
3.953052,3.90786,3.82379,3.837038,3.806185,3.902889,3.848785,3.873555,3.967327,4.022865,4.037894,3.996265,2.122628,3.91084,3.847298,3.872768,3.963086,3.895809,3.822748,3.84548,3.864329,3.888475,3.855837,3.834203,3.841107,3.946048,3.818061,3.828402,3.862033,6.397532,3.297947,2.082149,2.741371,4.143779,6.024238,4.824764,0.0,4.00688,3.311135,3.816455,3.863636,3.925524,3.83227,4.38661,3.504152,3.574321,3.9483,3.79587,3.925476,3.023708,4.481096,3.806457,3.86407,3.854727,3.84154,3.779591,3.857329,3.971657,2.66583
3.95312,3.907929,3.823854,3.837113,3.806255,3.902943,3.848858,3.873622,3.967396,4.02293,4.037942,3.996331,2.122872,3.91089,3.847371,3.872833,3.963153,3.895879,3.8228,3.845545,3.864399,3.888541,3.855916,3.834274,3.841174,3.946119,3.81813,3.828463,3.862102,6.397775,3.298049,2.082205,2.741354,4.144075,6.024291,4.82484,0.0,4.006926,3.311214,3.816529,3.863704,3.925588,3.832344,4.38669,3.504141,3.574325,3.948361,3.795923,3.925562,3.023771,4.481261,3.806516,3.864143,3.854803,3.841605,3.77966,3.857398,3.971728,2.665906
