Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59
0.777206,0.652199,0.089668,0.229435,0.070204,0.460065,0.225912,0.552854,0.82598,0.934576,0.974048,0.853724,0.0,0.509278,0.261649,0.319448,0.855081,0.636407,0.26344,0.361793,0.348,0.472919,0.377122,0.004012,0.367801,0.636489,0.272778,0.078606,0.277596,0.666961,0.0,0.0,0.0,0.282016,2.8e-5,1.701148,0.0,0.751414,0.0,0.028683,0.426386,0.734513,0.499917,1.238532,0.468222,0.66855,0.619119,0.131608,0.637182,0.0,1.005225,0.0,0.38814,0.424018,0.318248,0.000132,0.254363,0.758125,0.0
0.794228,0.65686,0.11638,0.236977,0.101019,0.46571,0.239986,0.56373,0.850189,0.952334,0.992506,0.878301,8.0e-6,0.526899,0.266965,0.317221,0.878744,0.652395,0.260407,0.369021,0.347102,0.487878,0.386934,0.000516,0.379122,0.653579,0.299043,0.091299,0.278207,0.702488,0.0,0.0,0.0,0.304141,0.000412,1.760223,9.0e-6,0.781154,0.0,0.019931,0.436824,0.754928,0.517085,1.280858,0.488106,0.695113,0.637001,0.132552,0.65399,0.0,1.042826,0.0,0.39642,0.435323,0.319178,0.0,0.274468,0.776703,0.0
0.834012,0.670988,0.14954,0.257775,0.110574,0.477293,0.246425,0.580799,0.905003,1.00031,1.048339,0.935127,8.0e-6,0.547781,0.271088,0.348698,0.9339,0.687123,0.269361,0.372995,0.375798,0.514298,0.417849,0.0,0.398478,0.689727,0.293925,0.112418,0.282161,0.80522,0.0,0.0,0.0,0.389968,1.0e-5,1.923084,7.0e-6,0.88908,0.0,0.0,0.459781,0.805483,0.55227,1.394204,0.554397,0.769073,0.684231,0.065875,0.699672,0.0,1.163644,0.0,0.403242,0.457427,0.328603,0.0,0.284318,0.822709,0.0
0.872792,0.710906,0.318225,0.300641,0.257263,0.555182,0.327475,0.605479,0.99286,1.05729,1.108466,1.028657,0.0,0.622659,0.319931,0.348618,1.019489,0.744816,0.320831,0.416976,0.430454,0.543056,0.482337,0.0,0.422228,0.770337,0.345268,0.193481,0.397089,1.067498,0.0,0.0,0.0,0.561266,0.12837,2.271906,0.0,1.056625,0.0,0.0,0.489705,0.914413,0.658166,1.69396,0.725674,0.876837,0.756465,0.0,0.790896,0.0,1.438727,0.0,0.391158,0.503328,0.440357,0.0,0.336984,0.907448,0.0
0.928931,0.860553,0.42124,0.480568,0.427763,0.714079,0.406625,0.721818,1.089194,1.144212,1.225005,1.119807,0.0,0.727826,0.392883,0.504233,1.118023,0.802133,0.480118,0.548551,0.591145,0.654987,0.638471,0.234127,0.562101,0.870058,0.510623,0.334768,0.474309,1.230089,0.0,0.0,0.0,1.096154,0.612956,2.901592,0.0,1.448806,0.0,0.084892,0.652107,0.978591,0.881376,2.215328,1.063523,1.151002,0.863262,0.166918,0.952244,0.0,2.004952,0.0,0.525442,0.658101,0.637027,0.0,0.460858,0.978922,0.0
1.056559,0.983564,0.628252,0.711912,0.587147,0.884471,0.603851,0.880234,1.204297,1.270313,1.375599,1.250348,0.0,0.871385,0.480044,0.673967,1.205288,0.906747,0.708236,0.671792,0.795229,0.847646,0.753042,0.570037,0.691879,1.015452,0.681163,0.617094,0.766482,1.724705,0.0,0.0,0.0,1.690057,1.2166,3.501142,0.0,1.953032,0.454513,0.480779,0.821771,1.084901,0.92623,2.757262,1.450657,1.580818,1.019422,0.459691,1.038786,0.0,2.686356,0.354854,0.703849,0.757334,0.735434,0.0,0.740622,1.17159,0.0
1.483007,1.392058,1.165744,1.218375,1.139733,1.326356,1.163625,1.34769,1.546363,1.624294,1.713944,1.599117,0.0,1.36401,1.07673,1.229029,1.557751,1.362339,1.214131,1.203893,1.274768,1.331013,1.248092,1.135122,1.223757,1.41151,1.193883,1.164177,1.244423,3.033687,1.055195,0.0,0.0,2.26009,2.218564,3.839705,0.0,2.578513,1.39157,1.076247,1.300773,1.472256,1.299784,3.172553,1.8525,2.139187,1.43942,1.087502,1.415092,0.0,3.331106,1.057618,1.200454,1.241222,1.207101,0.961078,1.260217,1.556152,0.0
2.370482,2.318198,2.187721,2.198743,2.165543,2.290192,2.174634,2.275304,2.422127,2.464552,2.528395,2.444883,0.0,2.300027,2.1671,2.218767,2.412531,2.302025,2.198417,2.185166,2.253117,2.293681,2.225205,2.176003,2.219885,2.327111,2.202142,2.188393,2.240326,3.61555,1.675633,0.0,0.690514,2.783005,3.969003,4.063292,0.0,2.851512,1.922044,2.124428,2.245916,2.371318,2.232351,3.460603,2.204018,2.454014,2.335306,2.168563,2.297059,1.260158,3.670025,2.126811,2.212385,2.201319,2.219682,2.086536,2.2182,2.429447,0.015098
3.302649,3.273115,3.185832,3.186763,3.161434,3.249593,3.171934,3.227473,3.347671,3.382371,3.417862,3.371506,0.531535,3.248032,3.169543,3.204965,3.331714,3.248676,3.17485,3.18843,3.216164,3.252002,3.209691,3.188799,3.201965,3.294938,3.181201,3.186936,3.21257,4.062604,2.481402,0.0,1.943786,3.354693,5.198448,4.368436,0.0,3.336122,2.56318,3.13004,3.233007,3.300092,3.203296,3.858499,2.761648,2.972059,3.267482,3.189778,3.244962,2.147997,3.945563,3.143454,3.199822,3.178973,3.194358,3.107772,3.204425,3.363476,1.576235
3.694291,3.659604,3.56111,3.581105,3.546274,3.639373,3.580791,3.616314,3.716784,3.773508,3.790163,3.743793,1.566056,3.636306,3.590477,3.6011,3.706526,3.633986,3.56181,3.589018,3.60023,3.636574,3.605685,3.578129,3.588127,3.686233,3.56413,3.576981,3.613742,4.592298,2.964698,1.583316,2.457623,3.766584,5.862186,4.645846,0.0,3.798575,3.004579,3.544502,3.613409,3.677029,3.585374,4.16902,3.225343,3.31757,3.684717,3.536843,3.666472,2.680642,4.230811,3.545847,3.604,3.582747,3.583366,3.515361,3.601774,3.726776,2.283855
3.865541,3.819795,3.733624,3.743715,3.709967,3.807639,3.750057,3.782005,3.882743,3.935428,3.951099,3.911119,1.9293,3.817924,3.762932,3.780673,3.872893,3.815179,3.726869,3.7597,3.772393,3.799457,3.769534,3.742911,3.746093,3.853965,3.7304,3.737877,3.780465,6.258351,3.164416,1.921592,2.644069,3.993265,5.966893,4.762789,0.0,3.935018,3.198111,3.716293,3.781362,3.831483,3.745348,4.306917,3.405082,3.491464,3.858161,3.70468,3.832235,2.899991,4.380752,3.716114,3.773219,3.759074,3.750656,3.692351,3.763961,3.882952,2.552531
3.927591,3.883057,3.798562,3.812058,3.778289,3.877494,3.820073,3.848861,3.942523,3.997064,4.014646,3.973948,2.124056,3.886418,3.822376,3.845967,3.938056,3.871673,3.795067,3.821032,3.836548,3.863705,3.832734,3.808105,3.814469,3.92125,3.796058,3.801079,3.837726,6.353319,3.266396,2.039001,2.710341,4.106882,6.010178,4.806978,0.0,3.964894,3.287552,3.789776,3.841694,3.898992,3.808264,4.364654,3.474468,3.5588,3.924256,3.770806,3.899242,2.994446,4.448698,3.781793,3.83881,3.828928,3.815726,3.754403,3.831257,3.946315,2.642048
3.945468,3.899878,3.816413,3.829335,3.797361,3.895044,3.839531,3.866054,3.959506,4.015226,4.029831,3.98964,2.125562,3.903241,3.839604,3.864876,3.955278,3.888472,3.813023,3.838405,3.855876,3.880883,3.848963,3.825651,3.832882,3.93841,3.811095,3.820256,3.854571,6.381439,3.288303,2.066611,2.732376,4.13045,6.019623,4.819171,0.0,3.994387,3.303307,3.807888,3.857085,3.917212,3.825338,4.379645,3.495573,3.568172,3.940647,3.787827,3.91755,3.014574,4.469815,3.798508,3.856448,3.846528,3.833727,3.771521,3.849431,3.963654,2.659683
3.951082,3.905626,3.82181,3.834882,3.803774,3.90078,3.846258,3.871482,3.965251,4.020744,4.035584,3.994486,2.124589,3.908652,3.845182,3.870661,3.960989,3.894028,3.819968,3.84355,3.862032,3.886421,3.854007,3.831912,3.838797,3.94398,3.816187,3.826173,3.859984,6.393838,3.2954,2.077048,2.73871,4.14072,6.022932,4.823303,0.0,4.003513,3.308674,3.814095,3.86193,3.923203,3.830338,4.384748,3.501637,3.572048,3.946183,3.793615,3.92331,3.021047,4.478379,3.80436,3.861939,3.852507,3.839429,3.777448,3.855125,3.969424,2.664018
3.952426,3.907133,3.82316,3.83631,3.805403,3.902188,3.847971,3.872893,3.966663,4.022208,4.037106,3.995691,2.123839,3.910129,3.84665,3.872084,3.962421,3.895248,3.821789,3.844894,3.863615,3.887804,3.85522,3.833433,3.840357,3.945391,3.817453,3.82768,3.861404,6.395062,3.297016,2.080166,2.740222,4.142517,6.023867,4.824316,0.0,4.005416,3.310274,3.815664,3.863094,3.924769,3.831644,4.38612,3.503019,3.573506,3.947615,3.795114,3.924794,3.022796,4.479674,3.805761,3.863411,3.853998,3.840871,3.778923,3.856593,3.970911,2.665987
3.95297,3.907744,3.823703,3.836926,3.806057,3.902765,3.848647,3.873456,3.967235,4.022768,4.037744,3.996194,2.123451,3.910708,3.847206,3.87267,3.962988,3.895754,3.822555,3.845403,3.864222,3.888376,3.85576,3.834083,3.840983,3.945952,3.817981,3.828289,3.861949,6.396481,3.29776,2.081508,2.741173,4.14326,6.024167,4.82467,0.0,4.006607,3.310909,3.816329,3.863572,3.925402,3.832178,4.386594,3.503926,3.57403,3.948186,3.795741,3.925387,3.023526,4.480561,3.80634,3.863976,3.854616,3.841444,3.779492,3.857212,3.971546,2.666188
3.953195,3.908037,3.823939,3.837206,3.806374,3.903051,3.848985,3.873713,3.967487,4.023027,4.038088,3.996398,2.122128,3.911018,3.847455,3.872922,3.96324,3.895931,3.822984,3.845618,3.864502,3.888634,3.855961,3.834384,3.841293,3.946206,3.818205,3.828573,3.862183,6.398141,3.298164,2.08277,2.741609,4.144125,6.02434,4.824871,0.0,4.00717,3.311386,3.816648,3.863757,3.925712,3.832407,4.386718,3.504391,3.574613,3.94847,3.796052,3.925635,3.023944,4.481443,3.806624,3.864226,3.854906,3.841695,3.779752,3.857508,3.971837,2.665776
