Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59
0.822714,0.662516,0.194788,0.219555,0.080169,0.464829,0.22415,0.561331,0.937551,1.015741,1.063016,0.96728,0.0,0.548077,0.212505,0.294945,0.956399,0.684114,0.211165,0.334086,0.333971,0.486444,0.385741,0.000627,0.371635,0.695716,0.276486,0.11379,0.270496,0.546184,1.1e-5,0.0,0.0,5.4e-5,2.3e-5,2.05186,0.0,0.817151,0.0,0.000967,0.436131,0.830489,0.522666,1.47626,0.440959,0.699894,0.639293,0.214621,0.666128,0.0,1.090455,0.0,0.356601,0.425022,0.337765,0.000469,0.224678,0.838522,0.0
0.830624,0.66701,0.206982,0.229829,0.077847,0.478959,0.228128,0.563035,0.945888,1.024546,1.072777,0.984409,9.0e-6,0.559111,0.216862,0.285941,0.968653,0.690365,0.214609,0.337159,0.346232,0.496281,0.393591,0.000203,0.375219,0.712695,0.28553,0.072152,0.295707,0.621397,0.0,0.0,0.0,0.0,3.3e-5,2.110951,1.1e-5,0.859469,0.0,0.000992,0.449546,0.842958,0.521593,1.535719,0.473883,0.739718,0.659269,0.194827,0.684452,0.0,1.150111,0.0,0.350816,0.430277,0.348241,0.0,0.234549,0.851381,0.0
0.852569,0.681703,0.256134,0.219619,0.163675,0.509065,0.23529,0.566961,0.978285,1.041711,1.097864,1.014237,9.0e-6,0.58001,0.262149,0.286355,1.002621,0.72125,0.226066,0.351513,0.354029,0.489872,0.427384,0.015048,0.348269,0.7346,0.297092,0.075457,0.323875,0.808554,0.0,0.0,0.0,2.8e-5,0.000397,2.286398,0.0,0.947102,0.0,0.0,0.435399,0.887938,0.574804,1.671501,0.575211,0.7932,0.683553,0.144128,0.729296,0.0,1.304382,0.0,0.320584,0.452431,0.392843,0.0,0.224881,0.877897,0.0
0.892355,0.786868,0.290108,0.353041,0.303666,0.635469,0.269876,0.623114,1.041317,1.09445,1.170138,1.078482,1.6e-5,0.625203,0.296238,0.402002,1.064182,0.785214,0.327786,0.437232,0.466682,0.567518,0.53882,0.093305,0.430614,0.80553,0.381487,0.172518,0.359353,1.235993,0.0,0.0,0.0,0.699286,4.1e-5,2.696719,1.0e-5,1.213192,0.0,0.0,0.506512,0.943881,0.723622,2.025288,0.843727,1.007468,0.769993,0.0,0.851211,0.0,1.708042,0.0,0.404805,0.574606,0.525943,0.0,0.332844,0.921238,0.0
0.933075,0.877291,0.488103,0.49728,0.417288,0.756114,0.440017,0.749954,1.123954,1.187055,1.275937,1.159937,0.0,0.790877,0.468645,0.519235,1.137724,0.777952,0.539335,0.534027,0.639403,0.695139,0.667532,0.276702,0.561536,0.920985,0.51848,0.44175,0.530562,1.179269,0.0,0.0,0.0,1.256171,0.404736,3.308054,0.0,1.710021,0.0,0.24377,0.70338,0.986553,0.853736,2.560388,1.347417,1.431095,0.879144,0.290744,0.947104,0.0,2.311586,0.0,0.591772,0.671339,0.666792,0.0,0.514716,1.030657,0.0
1.08819,0.986531,0.631612,0.724529,0.578849,0.900469,0.615002,0.895409,1.200969,1.282183,1.388176,1.257942,0.0,0.936208,0.454225,0.702051,1.212892,0.926283,0.70487,0.689998,0.82126,0.874796,0.764341,0.552321,0.694594,1.023902,0.659021,0.648708,0.7512,2.288813,0.779955,0.0,0.0,2.084985,1.521691,3.695944,0.0,2.329088,1.053326,0.465548,0.837776,1.104781,0.887667,3.006528,1.735914,1.900537,1.031573,0.470467,1.028894,0.0,3.012967,0.367327,0.685132,0.743243,0.693543,0.0,0.783033,1.200259,0.0
1.741198,1.682674,1.482065,1.513547,1.476321,1.635639,1.481095,1.635942,1.812187,1.87303,1.963455,1.847497,0.0,1.650797,1.451278,1.528591,1.807415,1.653564,1.529086,1.501848,1.596063,1.642747,1.553275,1.468553,1.533966,1.700812,1.520497,1.484731,1.566137,3.30032,1.461517,0.0,0.0,2.509215,3.02721,3.988444,0.0,2.670329,1.7841,1.408282,1.583631,1.749095,1.578827,3.398492,2.097781,2.348269,1.712009,1.448475,1.664152,2.7e-5,3.631459,1.404377,1.526236,1.517619,1.530781,1.341914,1.544215,1.827072,0.0
3.036815,3.007863,2.911241,2.923146,2.891075,2.987344,2.894425,2.967826,3.090924,3.122666,3.174659,3.117613,0.0,2.999537,2.898894,2.930734,3.080409,2.986162,2.912223,2.916668,2.954588,2.992364,2.935508,2.909967,2.932191,3.027323,2.913374,2.913119,2.945558,3.850094,2.099113,0.0,1.429573,3.073351,5.076533,4.247926,0.0,3.109033,2.249832,2.863468,2.958497,3.043754,2.940249,3.633495,2.50494,2.704765,3.021987,2.90551,2.983158,1.739479,3.801874,2.871112,2.931365,2.910722,2.933795,2.833805,2.933462,3.098057,1.075303
3.555707,3.525846,3.430751,3.4411,3.4093,3.506316,3.438586,3.482965,3.586199,3.636917,3.666719,3.611718,1.329146,3.508854,3.443827,3.456185,3.576722,3.495559,3.429786,3.451204,3.464857,3.504482,3.473996,3.439678,3.4523,3.551034,3.426828,3.448855,3.472217,4.284961,2.793978,1.226515,2.296963,3.620036,5.655234,4.544352,0.0,3.644695,2.852316,3.397847,3.48239,3.547156,3.454269,4.056585,3.076915,3.185214,3.547721,3.414485,3.517426,2.497826,4.136762,3.40677,3.463181,3.441308,3.447282,3.374333,3.460592,3.597657,2.064435
3.798999,3.755831,3.661531,3.678096,3.645577,3.742351,3.681635,3.71654,3.817343,3.870933,3.890248,3.844845,1.809878,3.742189,3.694164,3.70962,3.807131,3.745684,3.663262,3.690056,3.702883,3.734276,3.704109,3.680908,3.68402,3.788993,3.665857,3.669414,3.713553,6.107421,3.085767,1.771736,2.572943,3.866589,5.931165,4.722723,0.0,3.86675,3.110987,3.649083,3.713571,3.772116,3.680334,4.258721,3.331737,3.419546,3.7891,3.638151,3.766564,2.810926,4.285258,3.650816,3.705857,3.689207,3.684145,3.622445,3.698766,3.820903,2.446251
