Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59
0.743312,0.616269,0.138277,0.268628,0.141732,0.45367,0.24718,0.529627,0.757484,0.862003,0.904128,0.780635,0.0,0.494325,0.306186,0.348278,0.781741,0.597219,0.280681,0.370584,0.362848,0.456523,0.383337,0.000172,0.370215,0.600981,0.287505,0.177165,0.291796,0.712243,0.0,0.0,0.0,0.453428,0.26154,1.533628,0.0,0.742253,0.0,0.097953,0.419738,0.681027,0.495544,1.138505,0.496626,0.647807,0.598623,0.135811,0.614346,0.0,0.977662,0.0,0.38988,0.42926,0.334689,2.6e-5,0.290856,0.707246,0.0
0.758809,0.632087,0.138663,0.274534,0.142419,0.466074,0.253402,0.544125,0.776997,0.884772,0.928774,0.801467,0.0,0.506194,0.312233,0.35505,0.803124,0.612434,0.29233,0.378703,0.370849,0.468019,0.392468,9.5e-5,0.377889,0.616442,0.299818,0.175986,0.298957,0.734834,0.0,0.0,0.0,0.464161,0.273636,1.576144,0.0,0.759341,0.0,0.07058,0.43225,0.699414,0.51121,1.168758,0.50956,0.665558,0.616594,0.127873,0.63195,0.0,1.00477,0.0,0.398818,0.439224,0.341742,0.0,0.299295,0.725462,0.0
0.79699,0.672808,0.165082,0.288913,0.160681,0.491793,0.278268,0.577991,0.833911,0.944282,0.98351,0.863084,0.0,0.535589,0.319356,0.367062,0.864111,0.657558,0.314299,0.407395,0.394521,0.503599,0.415114,0.000221,0.411608,0.658486,0.316084,0.16644,0.328401,0.80214,0.0,0.0,0.0,0.504922,0.30895,1.70925,0.0,0.823237,0.0,0.033406,0.467866,0.747645,0.549757,1.266389,0.554542,0.723756,0.660338,0.131818,0.675693,0.0,1.087109,0.0,0.427382,0.459068,0.36384,0.0,0.332121,0.775483,0.0
0.863681,0.689795,0.296449,0.329496,0.218015,0.534273,0.330368,0.61872,0.95234,1.037434,1.080304,0.98532,0.0,0.610083,0.310707,0.399732,0.975835,0.726606,0.326679,0.427287,0.425424,0.564788,0.477557,0.0,0.460416,0.740795,0.355121,0.263764,0.34815,0.985649,0.0,0.0,0.0,0.619639,0.399408,2.04553,0.0,1.008645,0.0,0.0,0.531271,0.857997,0.630812,1.503285,0.666616,0.862606,0.759397,0.064827,0.767894,0.0,1.316229,0.0,0.461411,0.512726,0.417225,0.050292,0.365526,0.875869,0.0
0.955211,0.834139,0.430869,0.456257,0.386649,0.673047,0.401387,0.691659,1.068201,1.121803,1.191176,1.100923,0.0,0.692795,0.435086,0.507644,1.079109,0.829726,0.412704,0.526509,0.552654,0.615975,0.585706,0.266763,0.540295,0.833987,0.461571,0.325886,0.48218,1.258706,0.0,0.0,0.0,1.003022,0.66456,2.590132,0.0,1.29323,0.0,0.0,0.625649,0.962799,0.815088,2.008703,0.952359,1.065372,0.871307,0.0,0.919095,0.0,1.75522,0.0,0.503631,0.655479,0.579027,0.0,0.435708,0.980684,0.0
1.007636,0.934554,0.595141,0.622914,0.554592,0.834054,0.565344,0.81353,1.174378,1.233571,1.323503,1.208091,0.0,0.834105,0.512779,0.66037,1.168443,0.845355,0.64803,0.635231,0.733188,0.783378,0.745775,0.447422,0.651339,0.965974,0.641167,0.561926,0.657006,1.477601,0.001921,0.0,0.0,1.486599,1.089315,3.30742,0.0,1.726539,0.0,0.403329,0.79084,1.050792,0.922065,2.582417,1.373224,1.453223,0.954795,0.437765,0.997396,0.0,2.395319,0.209055,0.681521,0.734497,0.723586,0.0,0.649025,1.118399,0.0
1.377827,1.284861,1.040008,1.087713,1.002537,1.221597,1.028158,1.220282,1.450727,1.524892,1.613526,1.500029,0.0,1.250595,0.930755,1.08925,1.467119,1.236919,1.087505,1.07875,1.168754,1.194911,1.122442,0.975563,1.082909,1.312682,1.052195,1.043949,1.112278,2.535007,0.99352,0.0,0.0,2.185715,1.86815,3.737549,0.0,2.415939,1.227039,0.953154,1.160658,1.374779,1.22042,3.073432,1.790122,1.984334,1.32242,0.948013,1.307774,0.0,3.112687,0.903371,1.067871,1.113949,1.077087,0.81723,1.131847,1.45267,0.0
2.050155,1.997602,1.83569,1.858888,1.826303,1.962892,1.831194,1.955715,2.110518,2.161449,2.241395,2.140778,0.0,1.973654,1.812179,1.874396,2.105867,1.974048,1.865476,1.845867,1.925718,1.970133,1.890163,1.823462,1.875532,2.015207,1.863011,1.837643,1.903721,3.350603,1.563547,0.0,0.447858,2.570635,3.273993,4.011458,0.0,2.704071,1.849269,1.771725,1.912764,2.05732,1.910195,3.422323,2.148104,2.379227,2.022677,1.812029,1.978911,1.107232,3.646589,1.771477,1.869835,1.864956,1.874749,1.721763,1.883014,2.120821,0.0
3.123337,3.095885,3.005806,3.011665,2.984968,3.071991,2.986682,3.05539,3.17857,3.211252,3.251483,3.205297,0.0,3.083697,2.987999,3.024792,3.160572,3.075407,3.001299,3.010315,3.045475,3.075737,3.02797,3.004969,3.020351,3.114829,3.00317,3.006805,3.030538,3.918564,2.247034,0.0,1.627798,3.173384,5.119355,4.300294,0.0,3.153751,2.369341,2.954307,3.052572,3.130058,3.028365,3.713134,2.58503,2.788937,3.10304,3.002034,3.07276,1.887538,3.857324,2.955808,3.020955,3.001594,3.018985,2.922722,3.027098,3.1897,1.268014
3.591982,3.562677,3.466396,3.479146,3.447469,3.540826,3.47678,3.518303,3.620653,3.674091,3.699408,3.64752,1.406928,3.54353,3.48283,3.493336,3.612072,3.531772,3.46546,3.488831,3.502409,3.540972,3.510992,3.476734,3.489077,3.587907,3.462129,3.486525,3.50973,4.322674,2.839385,1.329048,2.353164,3.662009,5.709354,4.578604,0.0,3.698787,2.896446,3.436568,3.51845,3.582422,3.490561,4.083191,3.129794,3.221127,3.587492,3.444231,3.559471,2.550843,4.170027,3.443605,3.501103,3.477424,3.482335,3.411877,3.499078,3.633154,2.134149
3.8182,3.774711,3.683333,3.696346,3.66431,3.761235,3.701136,3.735448,3.837407,3.889703,3.907606,3.864857,1.829316,3.764613,3.714541,3.730242,3.826236,3.767521,3.681503,3.710442,3.72323,3.754042,3.722338,3.699063,3.701946,3.807741,3.684694,3.690269,3.733378,6.175672,3.110152,1.824463,2.595165,3.889608,5.941485,4.734826,0.0,3.890333,3.134152,3.668798,3.733657,3.78988,3.698212,4.269179,3.355146,3.442079,3.809059,3.658095,3.785191,2.838279,4.302806,3.670739,3.724515,3.709843,3.703545,3.644074,3.717789,3.839038,2.475979
3.916459,3.871564,3.786742,3.800059,3.76584,3.865574,3.807787,3.837312,3.931534,3.9857,4.003953,3.962969,2.108478,3.874794,3.811504,3.834233,3.926811,3.861684,3.782985,3.810131,3.824584,3.852181,3.821683,3.796148,3.802078,3.909528,3.785061,3.788989,3.827193,6.329424,3.246988,2.00961,2.696185,4.087776,6.003549,4.797981,0.0,3.947289,3.273088,3.776904,3.831236,3.886704,3.79709,4.359103,3.458296,3.54759,3.913106,3.758993,3.887364,2.976678,4.433683,3.770322,3.827507,3.816854,3.804206,3.743295,3.818931,3.934512,2.629804
3.940786,3.895503,3.811706,3.824861,3.792328,3.890472,3.834265,3.86154,3.95506,4.010375,4.025979,3.985616,2.12811,3.898811,3.835031,3.859898,3.950743,3.884105,3.808397,3.833779,3.85067,3.876422,3.844794,3.821168,3.828034,3.933937,3.807286,3.815185,3.850116,6.374724,3.282975,2.059492,2.726984,4.123877,6.016973,4.815773,0.0,3.98694,3.299018,3.803239,3.853126,3.912442,3.820814,4.375444,3.490544,3.565577,3.936348,3.783477,3.912695,3.009509,4.464265,3.794191,3.851794,3.841888,3.828977,3.766982,3.844653,3.959206,2.654624
3.949385,3.903791,3.820127,3.833082,3.801762,3.898986,3.844141,3.869762,3.963506,4.018981,4.03366,3.992988,2.128658,3.906813,3.84344,3.868877,3.959218,3.892434,3.817628,3.841919,3.860104,3.884713,3.852508,3.830018,3.836904,3.942264,3.814616,3.824312,3.858263,6.388997,3.29282,2.072512,2.736716,4.138492,6.022232,4.822979,0.0,4.000925,3.306791,3.812173,3.860498,3.921251,3.828718,4.383119,3.499761,3.570365,3.944381,3.79174,3.921527,3.018888,4.476172,3.802542,3.860158,3.850635,3.837665,3.775644,3.853284,3.967597,2.664145
3.952182,3.906864,3.822912,3.836072,3.805111,3.901949,3.847659,3.872633,3.966407,4.021925,4.036856,3.995476,2.123592,3.909858,3.846362,3.871832,3.962157,3.895031,3.821496,3.844628,3.863313,3.88756,3.855018,3.83318,3.840075,3.945129,3.817229,3.82741,3.861129,6.395576,3.296805,2.079771,2.740137,4.142243,6.02364,4.824059,0.0,4.005299,3.30999,3.815397,3.86288,3.924491,3.831408,4.385817,3.502968,3.573256,3.947356,3.794862,3.924515,3.022505,4.4797,3.805524,3.863127,3.853734,3.840606,3.778643,3.856342,3.970659,2.665144
3.953269,3.908101,3.824006,3.837277,3.806445,3.903123,3.849053,3.873779,3.967552,4.023089,4.038139,3.996462,2.122504,3.911066,3.847522,3.872999,3.963313,3.896008,3.823043,3.845684,3.864574,3.888701,3.856045,3.834458,3.841356,3.946272,3.818266,3.828643,3.86225,6.398084,3.298237,2.08269,2.741693,4.144153,6.024372,4.824926,0.0,4.007301,3.311389,3.816715,3.863825,3.925774,3.832481,4.386802,3.504462,3.574544,3.948523,3.796115,3.925712,3.023996,4.481461,3.806689,3.864297,3.854966,3.841769,3.779819,3.857569,3.971903,2.665951
3.953575,3.908427,3.824308,3.837585,3.806794,3.903402,3.849422,3.874087,3.967872,4.023418,4.038451,3.996736,2.122849,3.911373,3.847854,3.873316,3.963625,3.896302,3.823407,3.845991,3.864925,3.889004,3.856319,3.834788,3.841691,3.946583,3.818552,3.828972,3.862576,6.397637,3.298532,2.083046,2.742014,4.144212,6.02457,4.825139,0.0,4.007677,3.311665,3.817051,3.864093,3.92611,3.832767,4.387155,3.504724,3.574713,3.948835,3.796428,3.926051,3.024339,4.481424,3.806978,3.864625,3.8553,3.842085,3.780145,3.857889,3.972234,2.666743
3.953274,3.908118,3.824014,3.837285,3.80646,3.90312,3.849076,3.87379,3.967567,4.023108,4.03816,3.996468,2.122377,3.911089,3.847542,3.873002,3.963321,3.896009,3.823066,3.845697,3.86459,3.888709,3.856039,3.834466,3.841373,3.946285,3.818277,3.828653,3.862268,6.397969,3.298235,2.082778,2.741662,4.14416,6.024395,4.824939,0.0,4.007248,3.311437,3.816729,3.863829,3.925791,3.832485,4.386819,3.504429,3.574612,3.948544,3.796126,3.925725,3.024018,4.48142,3.806693,3.864312,3.854986,3.841778,3.779835,3.857584,3.971918,2.666036
3.953287,3.908127,3.824026,3.837298,3.806473,3.903141,3.849084,3.873798,3.967576,4.023113,4.038173,3.996479,2.122232,3.911093,3.847542,3.873019,3.963329,3.896022,3.823085,3.845699,3.864597,3.888723,3.85605,3.834486,3.841385,3.946293,3.818285,3.828669,3.862269,6.398244,3.298273,2.082863,2.741751,4.144182,6.024379,4.824921,0.0,4.007356,3.311443,3.816745,3.863835,3.925806,3.832491,4.386804,3.504521,3.574628,3.948552,3.796142,3.92573,3.02404,4.481525,3.806714,3.864315,3.854998,3.841785,3.779839,3.857599,3.971932,2.665869
3.953226,3.908071,3.823967,3.837233,3.806406,3.903072,3.849026,3.873749,3.967518,4.023068,4.038089,3.996425,2.122539,3.911035,3.847509,3.872949,3.96328,3.895959,3.82298,3.845665,3.864545,3.88866,3.855998,3.834403,3.841323,3.946244,3.818235,3.828597,3.862232,6.397769,3.298165,2.08264,2.741457,4.14426,6.024406,4.824961,0.0,4.007033,3.31141,3.816669,3.863794,3.925734,3.832451,4.386803,3.504236,3.574577,3.948491,3.796061,3.925691,3.023951,4.481353,3.806639,3.864277,3.854932,3.841736,3.779797,3.857528,3.971857,2.666157
3.953445,3.908308,3.824179,3.837478,3.806657,3.903295,3.849282,3.873967,3.967744,4.023282,4.038326,3.996627,2.122625,3.911244,3.847727,3.87318,3.963502,3.896172,3.823262,3.845863,3.864779,3.888884,3.856225,3.834662,3.841561,3.946464,3.818446,3.828831,3.862446,6.398359,3.298468,2.083045,2.741808,4.144587,6.024516,4.8251,0.0,4.007502,3.311622,3.816927,3.863989,3.925975,3.832665,4.387001,3.50457,3.574703,3.948708,3.796299,3.925929,3.024217,4.481715,3.806864,3.864499,3.855172,3.841961,3.780017,3.857767,3.972108,2.666241
