source,target,weight
x3,x7,0.9935204224690558
x4,x7,0.9941616172473582
x7,x15,0.9920204714058884
x7,x57,0.9935070743399952
x15,x19,0.992416875880389
x16,x20,0.9921601602718944
x16,x29,0.9942372282227826
x16,x53,0.9933364017023928
x20,x25,0.9964846113607996
x21,x53,0.9941047208886298
x40,x52,0.9942153681999664
